GENE	mhat	thetahat	sample	ahat	bhat	bestmod	phet	pierr	tot	serr	true_status	piescape	aescape	bescape	AD_hap1	ANNO	CHROM	gender	AD_hap2
gene_test_11	0.1	150	sample8	15.8	134.2	BB			42	0	test_escape	0.5	75	75	19	gene_test_11	X	female	23
gene_test_11	0.1	150	sample9	15.8	134.2	BB			42	0	test_escape	0.5	75	75	19	gene_test_11	X	female	23
gene_test_11	0.1	150	sample10	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.5	75	75	22	gene_test_11	X	female	20
gene_test_11	0.25	150	sample11	38	112	MM	0.9	0.01	42	0	test_escape	0.4	60	90	15	gene_test_11	X	female	27
gene_test_11	0.25	150	sample12	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	25	gene_test_11	X	female	17
gene_test_11	0.25	150	sample13	38	112	BB			42	0	test_escape	0.5	75	75	19	gene_test_11	X	female	23
gene_test_11	0.25	150	sample14	38	112	BB			42	0	test_escape	0.5	75	75	23	gene_test_11	X	female	19
gene_test_11	0.25	150	sample15	38	112	BB			42	0	test_escape	0.4	60	90	12	gene_test_11	X	female	30
gene_test_11	0.25	150	sample16	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	16	gene_test_11	X	female	26
gene_test_11	0.25	150	sample17	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	21	gene_test_11	X	female	21
gene_test_11	0.25	150	sample18	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	25	gene_test_11	X	female	17
gene_test_11	0.25	150	sample19	38	112	BB			42	0	test_escape	0.4	60	90	19	gene_test_11	X	female	23
gene_test_11	0.25	150	sample20	38	112	BB			42	0	test_escape	0.4	60	90	15	gene_test_11	X	female	27
gene_test_11	0.1	500	sample21	50.8	449.2	BB			42	0	test_escape	0.5	250	250	25	gene_test_11	X	female	17
gene_test_11	0.1	500	sample22	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.5	250	250	21	gene_test_11	X	female	21
gene_test_11	0.1	500	sample23	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.5	250	250	24	gene_test_11	X	female	18
gene_test_11	0.1	500	sample24	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	18	gene_test_11	X	female	24
gene_test_11	0.1	500	sample25	50.8	449.2	BB			42	0	test_escape	0.5	250	250	13	gene_test_11	X	female	29
gene_test_11	0.1	500	sample26	50.8	449.2	BB			42	0	test_escape	0.4	200	300	12	gene_test_11	X	female	30
gene_test_11	0.1	500	sample27	50.8	449.2	BB			42	0	test_escape	0.5	250	250	15	gene_test_11	X	female	27
gene_test_11	0.1	500	sample28	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	16	gene_test_11	X	female	26
gene_test_11	0.1	500	sample29	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	19	gene_test_11	X	female	23
gene_test_11	0.1	500	sample30	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	15	gene_test_11	X	female	27
gene_test_11	0.25	500	sample31	125.5	374.5	BB			42	0	test_escape	0.4	200	300	17	gene_test_11	X	female	25
gene_test_11	0.25	500	sample32	125.5	374.5	BB			42	0	test_escape	0.5	250	250	23	gene_test_11	X	female	19
gene_test_11	0.25	500	sample33	125.5	374.5	BB			42	0	test_escape	0.4	200	300	19	gene_test_11	X	female	23
gene_test_11	0.25	500	sample34	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.5	250	250	23	gene_test_11	X	female	19
gene_test_11	0.25	500	sample35	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.4	200	300	13	gene_test_11	X	female	29
gene_test_11	0.25	500	sample36	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.5	250	250	16	gene_test_11	X	female	26
gene_test_11	0.25	500	sample37	125.5	374.5	BB			42	0	test_escape	0.5	250	250	17	gene_test_11	X	female	25
gene_test_11	0.25	500	sample38	125.5	374.5	BB			42	0	test_escape	0.5	250	250	25	gene_test_11	X	female	17
gene_test_11	0.25	500	sample39	125.5	374.5	BB			42	0	test_escape	0.4	200	300	15	gene_test_11	X	female	27
gene_test_11	0.25	500	sample40	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.5	250	250	25	gene_test_11	X	female	17
gene_test_13	0.1	150	sample1	15.8	134.2	BB			116	0	test_subject				11	gene_test_13	X	female	105
gene_test_13	0.1	150	sample2	15.8	134.2	BB			116	0	test_subject				16	gene_test_13	X	female	100
gene_test_13	0.1	150	sample3	15.8	134.2	BB			116	0	test_subject				15	gene_test_13	X	female	101
gene_test_13	0.1	150	sample4	15.8	134.2	MM	0.9	0.01	116	0	test_subject				10	gene_test_13	X	female	106
gene_test_13	0.1	150	sample5	15.8	134.2	MM	0.9	0.01	116	0	test_subject				18	gene_test_13	X	female	98
gene_test_13	0.1	150	sample6	15.8	134.2	MM	0.9	0.01	116	0	test_subject				14	gene_test_13	X	female	102
gene_test_13	0.1	150	sample7	15.8	134.2	BB			116	0	test_subject				14	gene_test_13	X	female	102
gene_test_13	0.1	150	sample8	15.8	134.2	BB			116	0	test_subject				16	gene_test_13	X	female	100
gene_test_13	0.1	150	sample9	15.8	134.2	BB			116	0	test_subject				4	gene_test_13	X	female	112
gene_test_13	0.1	150	sample10	15.8	134.2	MM	0.9	0.01	116	0	test_subject				12	gene_test_13	X	female	104
gene_test_13	0.25	150	sample11	38	112	MM	0.9	0.01	116	0	test_subject				36	gene_test_13	X	female	80
gene_test_13	0.25	150	sample12	38	112	MM	0.9	0.01	116	0	test_subject				40	gene_test_13	X	female	76
gene_test_13	0.25	150	sample13	38	112	BB			116	0	test_subject				30	gene_test_13	X	female	86
gene_test_13	0.25	150	sample14	38	112	BB			116	0	test_subject				19	gene_test_13	X	female	97
gene_test_13	0.25	150	sample15	38	112	BB			116	0	test_subject				35	gene_test_13	X	female	81
gene_test_13	0.25	150	sample16	38	112	MM	0.9	0.01	116	0	test_subject				33	gene_test_13	X	female	83
gene_test_13	0.25	150	sample17	38	112	MM	0.9	0.01	116	0	test_subject				21	gene_test_13	X	female	95
gene_test_13	0.25	150	sample18	38	112	MM	0.9	0.01	116	0	test_subject				27	gene_test_13	X	female	89
gene_test_13	0.25	150	sample19	38	112	BB			116	0	test_subject				37	gene_test_13	X	female	79
gene_test_13	0.25	150	sample20	38	112	BB			116	0	test_subject				27	gene_test_13	X	female	89
gene_test_13	0.1	500	sample21	50.8	449.2	BB			116	0	test_subject				16	gene_test_13	X	female	100
gene_test_13	0.1	500	sample22	50.8	449.2	MM	0.9	0.01	116	0	test_subject				10	gene_test_13	X	female	106
gene_test_13	0.1	500	sample23	50.8	449.2	MM	0.9	0.01	116	0	test_subject				14	gene_test_13	X	female	102
gene_test_13	0.1	500	sample24	50.8	449.2	MM	0.9	0.01	116	0	test_subject				13	gene_test_13	X	female	103
gene_test_13	0.1	500	sample25	50.8	449.2	BB			116	0	test_subject				16	gene_test_13	X	female	100
gene_test_13	0.1	500	sample26	50.8	449.2	BB			116	0	test_subject				11	gene_test_13	X	female	105
gene_test_13	0.1	500	sample27	50.8	449.2	BB			116	0	test_subject				16	gene_test_13	X	female	100
gene_test_13	0.1	500	sample28	50.8	449.2	MM	0.9	0.01	116	0	test_subject				9	gene_test_13	X	female	107
gene_test_13	0.1	500	sample29	50.8	449.2	MM	0.9	0.01	116	0	test_subject				13	gene_test_13	X	female	103
gene_test_13	0.1	500	sample30	50.8	449.2	MM	0.9	0.01	116	0	test_subject				12	gene_test_13	X	female	104
gene_test_13	0.25	500	sample31	125.5	374.5	BB			116	0	test_subject				21	gene_test_13	X	female	95
gene_test_13	0.25	500	sample32	125.5	374.5	BB			116	0	test_subject				27	gene_test_13	X	female	89
gene_test_13	0.25	500	sample33	125.5	374.5	BB			116	0	test_subject				32	gene_test_13	X	female	84
gene_test_13	0.25	500	sample34	125.5	374.5	MM	0.9	0.01	116	0	test_subject				33	gene_test_13	X	female	83
gene_test_13	0.25	500	sample35	125.5	374.5	MM	0.9	0.01	116	0	test_subject				31	gene_test_13	X	female	85
gene_test_13	0.25	500	sample36	125.5	374.5	MM	0.9	0.01	116	0	test_subject				24	gene_test_13	X	female	92
gene_test_13	0.25	500	sample37	125.5	374.5	BB			116	0	test_subject				39	gene_test_13	X	female	77
gene_test_13	0.25	500	sample38	125.5	374.5	BB			116	0	test_subject				27	gene_test_13	X	female	89
gene_test_13	0.25	500	sample39	125.5	374.5	BB			116	0	test_subject				31	gene_test_13	X	female	85
gene_test_13	0.25	500	sample40	125.5	374.5	MM	0.9	0.01	116	0	test_subject				31	gene_test_13	X	female	85
gene_test_14	0.1	150	sample1	15.8	134.2	BB			129	0	test_escape	0.4	60	90	64	gene_test_14	X	female	65
gene_test_14	0.1	150	sample2	15.8	134.2	BB			129	0	test_escape	0.4	60	90	47	gene_test_14	X	female	82
gene_test_14	0.1	150	sample3	15.8	134.2	BB			129	0	test_escape	0.5	75	75	68	gene_test_14	X	female	61
gene_test_14	0.1	150	sample4	15.8	134.2	MM	0.9	0.01	129	0	test_escape	0.5	75	75	67	gene_test_14	X	female	62
gene_test_14	0.1	150	sample5	15.8	134.2	MM	0.9	0.01	129	0	test_escape	0.5	75	75	69	gene_test_14	X	female	60
gene_test_14	0.1	150	sample6	15.8	134.2	MM	0.9	0.01	129	0	test_escape	0.4	60	90	46	gene_test_14	X	female	83
gene_test_14	0.1	150	sample7	15.8	134.2	BB			129	0	test_escape	0.5	75	75	56	gene_test_14	X	female	73
gene_test_14	0.1	150	sample8	15.8	134.2	BB			129	0	test_escape	0.5	75	75	64	gene_test_14	X	female	65
gene_test_14	0.1	150	sample9	15.8	134.2	BB			129	0	test_escape	0.5	75	75	65	gene_test_14	X	female	64
gene_test_14	0.1	150	sample10	15.8	134.2	MM	0.9	0.01	129	0	test_escape	0.5	75	75	71	gene_test_14	X	female	58
gene_test_14	0.25	150	sample11	38	112	MM	0.9	0.01	129	0	test_escape	0.4	60	90	49	gene_test_14	X	female	80
gene_test_14	0.25	150	sample12	38	112	MM	0.9	0.01	129	0	test_escape	0.5	75	75	74	gene_test_14	X	female	55
gene_test_14	0.25	150	sample13	38	112	BB			129	0	test_escape	0.4	60	90	42	gene_test_14	X	female	87
gene_test_14	0.25	150	sample14	38	112	BB			129	0	test_escape	0.4	60	90	67	gene_test_14	X	female	62
gene_test_14	0.25	150	sample15	38	112	BB			129	0	test_escape	0.5	75	75	54	gene_test_14	X	female	75
gene_test_14	0.25	150	sample16	38	112	MM	0.9	0.01	129	0	test_escape	0.4	60	90	58	gene_test_14	X	female	71
gene_test_14	0.25	150	sample17	38	112	MM	0.9	0.01	129	0	test_escape	0.4	60	90	63	gene_test_14	X	female	66
gene_test_14	0.25	150	sample18	38	112	MM	0.9	0.01	129	0	test_escape	0.5	75	75	46	gene_test_14	X	female	83
gene_test_14	0.25	150	sample19	38	112	BB			129	0	test_escape	0.4	60	90	48	gene_test_14	X	female	81
gene_test_14	0.25	150	sample20	38	112	BB			129	0	test_escape	0.4	60	90	54	gene_test_14	X	female	75
gene_test_14	0.1	500	sample21	50.8	449.2	BB			129	0	test_escape	0.4	200	300	47	gene_test_14	X	female	82
gene_test_14	0.1	500	sample22	50.8	449.2	MM	0.9	0.01	129	0	test_escape	0.4	200	300	50	gene_test_14	X	female	79
gene_test_14	0.1	500	sample23	50.8	449.2	MM	0.9	0.01	129	0	test_escape	0.5	250	250	72	gene_test_14	X	female	57
gene_test_14	0.1	500	sample24	50.8	449.2	MM	0.9	0.01	129	0	test_escape	0.4	200	300	49	gene_test_14	X	female	80
gene_test_14	0.1	500	sample25	50.8	449.2	BB			129	0	test_escape	0.5	250	250	59	gene_test_14	X	female	70
gene_test_14	0.1	500	sample26	50.8	449.2	BB			129	0	test_escape	0.4	200	300	57	gene_test_14	X	female	72
gene_test_14	0.1	500	sample27	50.8	449.2	BB			129	0	test_escape	0.4	200	300	57	gene_test_14	X	female	72
gene_test_14	0.1	500	sample28	50.8	449.2	MM	0.9	0.01	129	0	test_escape	0.5	250	250	61	gene_test_14	X	female	68
gene_test_14	0.1	500	sample29	50.8	449.2	MM	0.9	0.01	129	0	test_escape	0.5	250	250	58	gene_test_14	X	female	71
gene_test_14	0.1	500	sample30	50.8	449.2	MM	0.9	0.01	129	0	test_escape	0.5	250	250	65	gene_test_14	X	female	64
gene_test_14	0.25	500	sample31	125.5	374.5	BB			129	0	test_escape	0.5	250	250	56	gene_test_14	X	female	73
gene_test_14	0.25	500	sample32	125.5	374.5	BB			129	0	test_escape	0.4	200	300	52	gene_test_14	X	female	77
gene_test_14	0.25	500	sample33	125.5	374.5	BB			129	0	test_escape	0.5	250	250	61	gene_test_14	X	female	68
gene_test_14	0.25	500	sample34	125.5	374.5	MM	0.9	0.01	129	0	test_escape	0.4	200	300	58	gene_test_14	X	female	71
gene_test_14	0.25	500	sample35	125.5	374.5	MM	0.9	0.01	129	0	test_escape	0.5	250	250	68	gene_test_14	X	female	61
gene_test_14	0.25	500	sample36	125.5	374.5	MM	0.9	0.01	129	0	test_escape	0.5	250	250	70	gene_test_14	X	female	59
gene_test_14	0.25	500	sample37	125.5	374.5	BB			129	0	test_escape	0.5	250	250	66	gene_test_14	X	female	63
gene_test_14	0.25	500	sample38	125.5	374.5	BB			129	0	test_escape	0.5	250	250	71	gene_test_14	X	female	58
gene_test_14	0.25	500	sample39	125.5	374.5	BB			129	0	test_escape	0.4	200	300	44	gene_test_14	X	female	85
gene_test_14	0.25	500	sample40	125.5	374.5	MM	0.9	0.01	129	0	test_escape	0.5	250	250	57	gene_test_14	X	female	72
gene_test_16	0.1	150	sample1	15.8	134.2	BB			42	0	test_escape	0.5	75	75	21	gene_test_16	X	female	21
gene_test_16	0.1	150	sample2	15.8	134.2	BB			42	0	test_escape	0.5	75	75	20	gene_test_16	X	female	22
gene_test_16	0.1	150	sample3	15.8	134.2	BB			42	0	test_escape	0.5	75	75	23	gene_test_16	X	female	19
gene_test_16	0.1	150	sample4	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.4	60	90	19	gene_test_16	X	female	23
gene_test_16	0.1	150	sample5	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.4	60	90	18	gene_test_16	X	female	24
gene_test_16	0.1	150	sample6	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.5	75	75	20	gene_test_16	X	female	22
gene_test_16	0.1	150	sample7	15.8	134.2	BB			42	0	test_escape	0.4	60	90	14	gene_test_16	X	female	28
gene_test_16	0.1	150	sample8	15.8	134.2	BB			42	0	test_escape	0.5	75	75	24	gene_test_16	X	female	18
gene_test_16	0.1	150	sample9	15.8	134.2	BB			42	0	test_escape	0.5	75	75	19	gene_test_16	X	female	23
gene_test_16	0.1	150	sample10	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.4	60	90	20	gene_test_16	X	female	22
gene_test_16	0.25	150	sample11	38	112	MM	0.9	0.01	42	0	test_escape	0.4	60	90	18	gene_test_16	X	female	24
gene_test_16	0.25	150	sample12	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	14	gene_test_16	X	female	28
gene_test_16	0.25	150	sample13	38	112	BB			42	0	test_escape	0.4	60	90	22	gene_test_16	X	female	20
gene_test_16	0.25	150	sample14	38	112	BB			42	0	test_escape	0.5	75	75	22	gene_test_16	X	female	20
gene_test_16	0.25	150	sample15	38	112	BB			42	0	test_escape	0.4	60	90	16	gene_test_16	X	female	26
gene_test_16	0.25	150	sample16	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	19	gene_test_16	X	female	23
gene_test_16	0.25	150	sample17	38	112	MM	0.9	0.01	42	0	test_escape	0.4	60	90	15	gene_test_16	X	female	27
gene_test_16	0.25	150	sample18	38	112	MM	0.9	0.01	42	0	test_escape	0.5	75	75	23	gene_test_16	X	female	19
gene_test_16	0.25	150	sample19	38	112	BB			42	0	test_escape	0.5	75	75	23	gene_test_16	X	female	19
gene_test_16	0.25	150	sample20	38	112	BB			42	0	test_escape	0.5	75	75	23	gene_test_16	X	female	19
gene_test_16	0.1	500	sample21	50.8	449.2	BB			42	0	test_escape	0.5	250	250	23	gene_test_16	X	female	19
gene_test_16	0.1	500	sample22	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	14	gene_test_16	X	female	28
gene_test_16	0.1	500	sample23	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	13	gene_test_16	X	female	29
gene_test_16	0.1	500	sample24	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.5	250	250	22	gene_test_16	X	female	20
gene_test_16	0.1	500	sample25	50.8	449.2	BB			42	0	test_escape	0.5	250	250	18	gene_test_16	X	female	24
gene_test_16	0.1	500	sample26	50.8	449.2	BB			42	0	test_escape	0.5	250	250	12	gene_test_16	X	female	30
gene_test_16	0.1	500	sample27	50.8	449.2	BB			42	0	test_escape	0.5	250	250	22	gene_test_16	X	female	20
gene_test_16	0.1	500	sample28	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	17	gene_test_16	X	female	25
gene_test_16	0.1	500	sample29	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.4	200	300	21	gene_test_16	X	female	21
gene_test_16	0.1	500	sample30	50.8	449.2	MM	0.9	0.01	42	0	test_escape	0.5	250	250	23	gene_test_16	X	female	19
gene_test_16	0.25	500	sample31	125.5	374.5	BB			42	0	test_escape	0.4	200	300	17	gene_test_16	X	female	25
gene_test_16	0.25	500	sample32	125.5	374.5	BB			42	0	test_escape	0.4	200	300	15	gene_test_16	X	female	27
gene_test_16	0.25	500	sample33	125.5	374.5	BB			42	0	test_escape	0.5	250	250	16	gene_test_16	X	female	26
gene_test_16	0.25	500	sample34	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.5	250	250	13	gene_test_16	X	female	29
gene_test_16	0.25	500	sample35	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.5	250	250	21	gene_test_16	X	female	21
gene_test_16	0.25	500	sample36	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.4	200	300	22	gene_test_16	X	female	20
gene_test_16	0.25	500	sample37	125.5	374.5	BB			42	0	test_escape	0.5	250	250	24	gene_test_16	X	female	18
gene_test_16	0.25	500	sample38	125.5	374.5	BB			42	0	test_escape	0.5	250	250	16	gene_test_16	X	female	26
gene_test_16	0.25	500	sample39	125.5	374.5	BB			42	0	test_escape	0.5	250	250	16	gene_test_16	X	female	26
gene_test_16	0.25	500	sample40	125.5	374.5	MM	0.9	0.01	42	0	test_escape	0.5	250	250	21	gene_test_16	X	female	21
gene_test_17	0.1	150	sample1	15.8	134.2	BB			257	0	test_escape	0.5	75	75	118	gene_test_17	X	female	139
gene_test_17	0.1	150	sample2	15.8	134.2	BB			257	0	test_escape	0.5	75	75	102	gene_test_17	X	female	155
gene_test_17	0.1	150	sample3	15.8	134.2	BB			257	0	test_escape	0.5	75	75	154	gene_test_17	X	female	103
gene_test_17	0.1	150	sample4	15.8	134.2	MM	0.9	0.01	257	0	test_escape	0.4	60	90	101	gene_test_17	X	female	156
gene_test_17	0.1	150	sample5	15.8	134.2	MM	0.9	0.01	257	0	test_escape	0.4	60	90	128	gene_test_17	X	female	129
gene_test_17	0.1	150	sample6	15.8	134.2	MM	0.9	0.01	257	0	test_escape	0.5	75	75	127	gene_test_17	X	female	130
gene_test_17	0.1	150	sample7	15.8	134.2	BB			257	0	test_escape	0.5	75	75	123	gene_test_17	X	female	134
gene_test_17	0.1	150	sample8	15.8	134.2	BB			257	0	test_escape	0.5	75	75	136	gene_test_17	X	female	121
gene_test_17	0.1	150	sample9	15.8	134.2	BB			257	0	test_escape	0.4	60	90	111	gene_test_17	X	female	146
gene_test_17	0.1	150	sample10	15.8	134.2	MM	0.9	0.01	257	0	test_escape	0.5	75	75	132	gene_test_17	X	female	125
gene_test_17	0.25	150	sample11	38	112	MM	0.9	0.01	257	0	test_escape	0.4	60	90	124	gene_test_17	X	female	133
gene_test_17	0.25	150	sample12	38	112	MM	0.9	0.01	257	0	test_escape	0.5	75	75	113	gene_test_17	X	female	144
gene_test_17	0.25	150	sample13	38	112	BB			257	0	test_escape	0.5	75	75	105	gene_test_17	X	female	152
gene_test_17	0.25	150	sample14	38	112	BB			257	0	test_escape	0.4	60	90	109	gene_test_17	X	female	148
gene_test_17	0.25	150	sample15	38	112	BB			257	0	test_escape	0.5	75	75	125	gene_test_17	X	female	132
gene_test_17	0.25	150	sample16	38	112	MM	0.9	0.01	257	0	test_escape	0.5	75	75	116	gene_test_17	X	female	141
gene_test_17	0.25	150	sample17	38	112	MM	0.9	0.01	257	0	test_escape	0.5	75	75	133	gene_test_17	X	female	124
gene_test_17	0.25	150	sample18	38	112	MM	0.9	0.01	257	0	test_escape	0.4	60	90	108	gene_test_17	X	female	149
gene_test_17	0.25	150	sample19	38	112	BB			257	0	test_escape	0.5	75	75	156	gene_test_17	X	female	101
gene_test_17	0.25	150	sample20	38	112	BB			257	0	test_escape	0.5	75	75	140	gene_test_17	X	female	117
gene_test_17	0.1	500	sample21	50.8	449.2	BB			257	0	test_escape	0.4	200	300	94	gene_test_17	X	female	163
gene_test_17	0.1	500	sample22	50.8	449.2	MM	0.9	0.01	257	0	test_escape	0.5	250	250	133	gene_test_17	X	female	124
gene_test_17	0.1	500	sample23	50.8	449.2	MM	0.9	0.01	257	0	test_escape	0.4	200	300	113	gene_test_17	X	female	144
gene_test_17	0.1	500	sample24	50.8	449.2	MM	0.9	0.01	257	0	test_escape	0.5	250	250	139	gene_test_17	X	female	118
gene_test_17	0.1	500	sample25	50.8	449.2	BB			257	0	test_escape	0.5	250	250	137	gene_test_17	X	female	120
gene_test_17	0.1	500	sample26	50.8	449.2	BB			257	0	test_escape	0.5	250	250	140	gene_test_17	X	female	117
gene_test_17	0.1	500	sample27	50.8	449.2	BB			257	0	test_escape	0.4	200	300	112	gene_test_17	X	female	145
gene_test_17	0.1	500	sample28	50.8	449.2	MM	0.9	0.01	257	0	test_escape	0.5	250	250	132	gene_test_17	X	female	125
gene_test_17	0.1	500	sample29	50.8	449.2	MM	0.9	0.01	257	0	test_escape	0.4	200	300	111	gene_test_17	X	female	146
gene_test_17	0.1	500	sample30	50.8	449.2	MM	0.9	0.01	257	0	test_escape	0.4	200	300	93	gene_test_17	X	female	164
