sample	gender	CHROM	GENE	true_status	AD_hap1	AD_hap2	tot
sample8	female	X	gene_test_13	test_subject	16	100	116
sample9	female	X	gene_test_13	test_subject	4	112	116
sample10	female	X	gene_test_13	test_subject	12	104	116
sample11	female	X	gene_test_13	test_subject	36	80	116
sample12	female	X	gene_test_13	test_subject	40	76	116
sample13	female	X	gene_test_13	test_subject	30	86	116
sample14	female	X	gene_test_13	test_subject	19	97	116
sample15	female	X	gene_test_13	test_subject	35	81	116
sample16	female	X	gene_test_13	test_subject	33	83	116
sample17	female	X	gene_test_13	test_subject	21	95	116
sample18	female	X	gene_test_13	test_subject	27	89	116
sample19	female	X	gene_test_13	test_subject	37	79	116
sample20	female	X	gene_test_13	test_subject	27	89	116
sample21	female	X	gene_test_13	test_subject	16	100	116
sample22	female	X	gene_test_13	test_subject	10	106	116
sample23	female	X	gene_test_13	test_subject	14	102	116
sample24	female	X	gene_test_13	test_subject	13	103	116
sample25	female	X	gene_test_13	test_subject	16	100	116
sample26	female	X	gene_test_13	test_subject	11	105	116
sample27	female	X	gene_test_13	test_subject	16	100	116
sample28	female	X	gene_test_13	test_subject	9	107	116
sample29	female	X	gene_test_13	test_subject	13	103	116
sample30	female	X	gene_test_13	test_subject	12	104	116
sample31	female	X	gene_test_13	test_subject	21	95	116
sample32	female	X	gene_test_13	test_subject	27	89	116
sample33	female	X	gene_test_13	test_subject	32	84	116
sample34	female	X	gene_test_13	test_subject	33	83	116
sample35	female	X	gene_test_13	test_subject	31	85	116
sample36	female	X	gene_test_13	test_subject	24	92	116
sample37	female	X	gene_test_13	test_subject	39	77	116
sample38	female	X	gene_test_13	test_subject	27	89	116
sample39	female	X	gene_test_13	test_subject	31	85	116
sample40	female	X	gene_test_13	test_subject	31	85	116
sample1	female	X	gene_test_14	test_escape	64	65	129
sample2	female	X	gene_test_14	test_escape	47	82	129
sample3	female	X	gene_test_14	test_escape	68	61	129
sample4	female	X	gene_test_14	test_escape	67	62	129
sample5	female	X	gene_test_14	test_escape	69	60	129
sample6	female	X	gene_test_14	test_escape	46	83	129
sample7	female	X	gene_test_14	test_escape	56	73	129
sample8	female	X	gene_test_14	test_escape	64	65	129
sample9	female	X	gene_test_14	test_escape	65	64	129
sample10	female	X	gene_test_14	test_escape	71	58	129
sample11	female	X	gene_test_14	test_escape	49	80	129
sample12	female	X	gene_test_14	test_escape	74	55	129
sample13	female	X	gene_test_14	test_escape	42	87	129
sample14	female	X	gene_test_14	test_escape	67	62	129
sample15	female	X	gene_test_14	test_escape	54	75	129
sample16	female	X	gene_test_14	test_escape	58	71	129
sample17	female	X	gene_test_14	test_escape	63	66	129
sample18	female	X	gene_test_14	test_escape	46	83	129
sample19	female	X	gene_test_14	test_escape	48	81	129
sample20	female	X	gene_test_14	test_escape	54	75	129
sample21	female	X	gene_test_14	test_escape	47	82	129
sample22	female	X	gene_test_14	test_escape	50	79	129
sample23	female	X	gene_test_14	test_escape	72	57	129
sample24	female	X	gene_test_14	test_escape	49	80	129
sample25	female	X	gene_test_14	test_escape	59	70	129
sample26	female	X	gene_test_14	test_escape	57	72	129
sample27	female	X	gene_test_14	test_escape	57	72	129
sample28	female	X	gene_test_14	test_escape	61	68	129
sample29	female	X	gene_test_14	test_escape	58	71	129
sample30	female	X	gene_test_14	test_escape	65	64	129
sample31	female	X	gene_test_14	test_escape	56	73	129
sample32	female	X	gene_test_14	test_escape	52	77	129
sample33	female	X	gene_test_14	test_escape	61	68	129
sample34	female	X	gene_test_14	test_escape	58	71	129
sample35	female	X	gene_test_14	test_escape	68	61	129
sample36	female	X	gene_test_14	test_escape	70	59	129
sample37	female	X	gene_test_14	test_escape	66	63	129
sample38	female	X	gene_test_14	test_escape	71	58	129
sample39	female	X	gene_test_14	test_escape	44	85	129
sample40	female	X	gene_test_14	test_escape	57	72	129
sample1	female	X	gene_test_16	test_escape	21	21	42
sample2	female	X	gene_test_16	test_escape	20	22	42
sample3	female	X	gene_test_16	test_escape	23	19	42
sample4	female	X	gene_test_16	test_escape	19	23	42
sample5	female	X	gene_test_16	test_escape	18	24	42
sample6	female	X	gene_test_16	test_escape	20	22	42
sample7	female	X	gene_test_16	test_escape	14	28	42
sample8	female	X	gene_test_16	test_escape	24	18	42
sample9	female	X	gene_test_16	test_escape	19	23	42
sample10	female	X	gene_test_16	test_escape	20	22	42
sample11	female	X	gene_test_16	test_escape	18	24	42
sample12	female	X	gene_test_16	test_escape	14	28	42
sample13	female	X	gene_test_16	test_escape	22	20	42
sample14	female	X	gene_test_16	test_escape	22	20	42
sample15	female	X	gene_test_16	test_escape	16	26	42
sample16	female	X	gene_test_16	test_escape	19	23	42
sample17	female	X	gene_test_16	test_escape	15	27	42
sample18	female	X	gene_test_16	test_escape	23	19	42
sample19	female	X	gene_test_16	test_escape	23	19	42
sample20	female	X	gene_test_16	test_escape	23	19	42
sample21	female	X	gene_test_16	test_escape	23	19	42
sample22	female	X	gene_test_16	test_escape	14	28	42
sample23	female	X	gene_test_16	test_escape	13	29	42
sample24	female	X	gene_test_16	test_escape	22	20	42
sample25	female	X	gene_test_16	test_escape	18	24	42
sample26	female	X	gene_test_16	test_escape	12	30	42
sample27	female	X	gene_test_16	test_escape	22	20	42
sample28	female	X	gene_test_16	test_escape	17	25	42
sample29	female	X	gene_test_16	test_escape	21	21	42
sample30	female	X	gene_test_16	test_escape	23	19	42
sample31	female	X	gene_test_16	test_escape	17	25	42
sample32	female	X	gene_test_16	test_escape	15	27	42
sample33	female	X	gene_test_16	test_escape	16	26	42
sample34	female	X	gene_test_16	test_escape	13	29	42
sample35	female	X	gene_test_16	test_escape	21	21	42
sample36	female	X	gene_test_16	test_escape	22	20	42
sample37	female	X	gene_test_16	test_escape	24	18	42
sample38	female	X	gene_test_16	test_escape	16	26	42
sample39	female	X	gene_test_16	test_escape	16	26	42
sample40	female	X	gene_test_16	test_escape	21	21	42
sample1	female	X	gene_test_17	test_escape	118	139	257
sample2	female	X	gene_test_17	test_escape	102	155	257
sample3	female	X	gene_test_17	test_escape	154	103	257
sample4	female	X	gene_test_17	test_escape	101	156	257
sample5	female	X	gene_test_17	test_escape	128	129	257
sample6	female	X	gene_test_17	test_escape	127	130	257
sample7	female	X	gene_test_17	test_escape	123	134	257
sample8	female	X	gene_test_17	test_escape	136	121	257
sample9	female	X	gene_test_17	test_escape	111	146	257
sample10	female	X	gene_test_17	test_escape	132	125	257
sample11	female	X	gene_test_17	test_escape	124	133	257
sample12	female	X	gene_test_17	test_escape	113	144	257
sample13	female	X	gene_test_17	test_escape	105	152	257
sample14	female	X	gene_test_17	test_escape	109	148	257
sample15	female	X	gene_test_17	test_escape	125	132	257
sample16	female	X	gene_test_17	test_escape	116	141	257
sample17	female	X	gene_test_17	test_escape	133	124	257
sample18	female	X	gene_test_17	test_escape	108	149	257
sample19	female	X	gene_test_17	test_escape	156	101	257
sample20	female	X	gene_test_17	test_escape	140	117	257
sample21	female	X	gene_test_17	test_escape	94	163	257
sample22	female	X	gene_test_17	test_escape	133	124	257
sample23	female	X	gene_test_17	test_escape	113	144	257
sample24	female	X	gene_test_17	test_escape	139	118	257
sample25	female	X	gene_test_17	test_escape	137	120	257
sample26	female	X	gene_test_17	test_escape	140	117	257
sample27	female	X	gene_test_17	test_escape	112	145	257
sample28	female	X	gene_test_17	test_escape	132	125	257
sample29	female	X	gene_test_17	test_escape	111	146	257
sample30	female	X	gene_test_17	test_escape	93	164	257
sample31	female	X	gene_test_17	test_escape	131	126	257
sample32	female	X	gene_test_17	test_escape	114	143	257
sample33	female	X	gene_test_17	test_escape	132	125	257
sample34	female	X	gene_test_17	test_escape	130	127	257
sample35	female	X	gene_test_17	test_escape	113	144	257
sample36	female	X	gene_test_17	test_escape	100	157	257
sample37	female	X	gene_test_17	test_escape	121	136	257
sample38	female	X	gene_test_17	test_escape	113	144	257
sample39	female	X	gene_test_17	test_escape	119	138	257
sample40	female	X	gene_test_17	test_escape	99	158	257
sample1	female	X	gene_test_18	test_subject	31	247	278
sample2	female	X	gene_test_18	test_subject	42	236	278
sample3	female	X	gene_test_18	test_subject	24	254	278
sample4	female	X	gene_test_18	test_subject	25	253	278
sample5	female	X	gene_test_18	test_subject	30	248	278
sample6	female	X	gene_test_18	test_subject	28	250	278
sample7	female	X	gene_test_18	test_subject	29	249	278
sample8	female	X	gene_test_18	test_subject	30	248	278
sample9	female	X	gene_test_18	test_subject	30	248	278
sample10	female	X	gene_test_18	test_subject	24	254	278
sample11	female	X	gene_test_18	test_subject	74	204	278
sample12	female	X	gene_test_18	test_subject	64	214	278
sample13	female	X	gene_test_18	test_subject	53	225	278
sample14	female	X	gene_test_18	test_subject	72	206	278
sample15	female	X	gene_test_18	test_subject	91	187	278
sample16	female	X	gene_test_18	test_subject	80	198	278
sample17	female	X	gene_test_18	test_subject	65	213	278
sample18	female	X	gene_test_18	test_subject	70	208	278
sample19	female	X	gene_test_18	test_subject	57	221	278
sample20	female	X	gene_test_18	test_subject	75	203	278
sample21	female	X	gene_test_18	test_subject	26	252	278
sample22	female	X	gene_test_18	test_subject	26	252	278
sample23	female	X	gene_test_18	test_subject	33	245	278
sample24	female	X	gene_test_18	test_subject	18	260	278
sample25	female	X	gene_test_18	test_subject	24	254	278
sample26	female	X	gene_test_18	test_subject	27	251	278
sample27	female	X	gene_test_18	test_subject	25	253	278
sample28	female	X	gene_test_18	test_subject	23	255	278
sample29	female	X	gene_test_18	test_subject	27	251	278
sample30	female	X	gene_test_18	test_subject	27	251	278
sample31	female	X	gene_test_18	test_subject	85	193	278
sample32	female	X	gene_test_18	test_subject	69	209	278
sample33	female	X	gene_test_18	test_subject	59	219	278
sample34	female	X	gene_test_18	test_subject	90	188	278
sample35	female	X	gene_test_18	test_subject	60	218	278
sample36	female	X	gene_test_18	test_subject	81	197	278
sample37	female	X	gene_test_18	test_subject	59	219	278
sample38	female	X	gene_test_18	test_subject	82	196	278
sample39	female	X	gene_test_18	test_subject	64	214	278
sample40	female	X	gene_test_18	test_subject	72	206	278
sample1	female	X	gene_test_2	test_subject	4	47	51
sample2	female	X	gene_test_2	test_subject	9	42	51
sample3	female	X	gene_test_2	test_subject	8	43	51
sample4	female	X	gene_test_2	test_subject	5	46	51
sample5	female	X	gene_test_2	test_subject	8	43	51
sample6	female	X	gene_test_2	test_subject	6	45	51
sample7	female	X	gene_test_2	test_subject	4	47	51
sample8	female	X	gene_test_2	test_subject	5	46	51
sample9	female	X	gene_test_2	test_subject	2	49	51
sample10	female	X	gene_test_2	test_subject	8	43	51
sample11	female	X	gene_test_2	test_subject	17	34	51
sample12	female	X	gene_test_2	test_subject	11	40	51
sample13	female	X	gene_test_2	test_subject	14	37	51
sample14	female	X	gene_test_2	test_subject	7	44	51
sample15	female	X	gene_test_2	test_subject	11	40	51
sample16	female	X	gene_test_2	test_subject	20	31	51
sample17	female	X	gene_test_2	test_subject	15	36	51
sample18	female	X	gene_test_2	test_subject	14	37	51
sample19	female	X	gene_test_2	test_subject	11	40	51
sample20	female	X	gene_test_2	test_subject	20	31	51
sample21	female	X	gene_test_2	test_subject	6	45	51
sample22	female	X	gene_test_2	test_subject	6	45	51
sample23	female	X	gene_test_2	test_subject	4	47	51
sample24	female	X	gene_test_2	test_subject	5	46	51
sample25	female	X	gene_test_2	test_subject	6	45	51
sample26	female	X	gene_test_2	test_subject	3	48	51
sample27	female	X	gene_test_2	test_subject	5	46	51
sample28	female	X	gene_test_2	test_subject	4	47	51
sample29	female	X	gene_test_2	test_subject	3	48	51
sample30	female	X	gene_test_2	test_subject	3	48	51
sample31	female	X	gene_test_2	test_subject	11	40	51
sample32	female	X	gene_test_2	test_subject	15	36	51
sample33	female	X	gene_test_2	test_subject	16	35	51
sample34	female	X	gene_test_2	test_subject	12	39	51
sample35	female	X	gene_test_2	test_subject	9	42	51
sample36	female	X	gene_test_2	test_subject	17	34	51
sample37	female	X	gene_test_2	test_subject	17	34	51
sample38	female	X	gene_test_2	test_subject	10	41	51
sample39	female	X	gene_test_2	test_subject	8	43	51
sample40	female	X	gene_test_2	test_subject	12	39	51
sample1	female	X	gene_test_21	test_subject	14	55	69
sample2	female	X	gene_test_21	test_subject	11	58	69
sample3	female	X	gene_test_21	test_subject	13	56	69
sample4	female	X	gene_test_21	test_subject	2	67	69
sample5	female	X	gene_test_21	test_subject	6	63	69
sample6	female	X	gene_test_21	test_subject	5	64	69
sample7	female	X	gene_test_21	test_subject	6	63	69
sample8	female	X	gene_test_21	test_subject	10	59	69
sample9	female	X	gene_test_21	test_subject	6	63	69
sample10	female	X	gene_test_21	test_subject	8	61	69
sample11	female	X	gene_test_21	test_subject	19	50	69
sample12	female	X	gene_test_21	test_subject	17	52	69
sample13	female	X	gene_test_21	test_subject	15	54	69
sample14	female	X	gene_test_21	test_subject	17	52	69
sample15	female	X	gene_test_21	test_subject	13	56	69
sample16	female	X	gene_test_21	test_subject	16	53	69
sample17	female	X	gene_test_21	test_subject	17	52	69
sample18	female	X	gene_test_21	test_subject	17	52	69
sample19	female	X	gene_test_21	test_subject	14	55	69
sample20	female	X	gene_test_21	test_subject	16	53	69
sample21	female	X	gene_test_21	test_subject	7	62	69
sample22	female	X	gene_test_21	test_subject	11	58	69
sample23	female	X	gene_test_21	test_subject	10	59	69
sample24	female	X	gene_test_21	test_subject	6	63	69
sample25	female	X	gene_test_21	test_subject	6	63	69
sample26	female	X	gene_test_21	test_subject	7	62	69
sample27	female	X	gene_test_21	test_subject	8	61	69
sample28	female	X	gene_test_21	test_subject	4	65	69
sample29	female	X	gene_test_21	test_subject	4	65	69
sample30	female	X	gene_test_21	test_subject	2	67	69
sample31	female	X	gene_test_21	test_subject	18	51	69
sample32	female	X	gene_test_21	test_subject	17	52	69
sample33	female	X	gene_test_21	test_subject	18	51	69
sample34	female	X	gene_test_21	test_subject	17	52	69
sample35	female	X	gene_test_21	test_subject	17	52	69
sample36	female	X	gene_test_21	test_subject	23	46	69
sample37	female	X	gene_test_21	test_subject	17	52	69
sample38	female	X	gene_test_21	test_subject	15	54	69
sample39	female	X	gene_test_21	test_subject	21	48	69
sample40	female	X	gene_test_21	test_subject	10	59	69
sample1	female	X	gene_test_22	test_subject	6	70	76
sample2	female	X	gene_test_22	test_subject	8	68	76
sample3	female	X	gene_test_22	test_subject	11	65	76
sample4	female	X	gene_test_22	test_subject	7	69	76
sample5	female	X	gene_test_22	test_subject	3	73	76
sample6	female	X	gene_test_22	test_subject	4	72	76
sample7	female	X	gene_test_22	test_subject	8	68	76
sample8	female	X	gene_test_22	test_subject	10	66	76
sample9	female	X	gene_test_22	test_subject	10	66	76
sample10	female	X	gene_test_22	test_subject	6	70	76
sample11	female	X	gene_test_22	test_subject	25	51	76
sample12	female	X	gene_test_22	test_subject	18	58	76
sample13	female	X	gene_test_22	test_subject	14	62	76
sample14	female	X	gene_test_22	test_subject	14	62	76
sample15	female	X	gene_test_22	test_subject	14	62	76
sample16	female	X	gene_test_22	test_subject	13	63	76
sample17	female	X	gene_test_22	test_subject	10	66	76
sample18	female	X	gene_test_22	test_subject	20	56	76
sample19	female	X	gene_test_22	test_subject	21	55	76
sample20	female	X	gene_test_22	test_subject	15	61	76
sample21	female	X	gene_test_22	test_subject	9	67	76
sample22	female	X	gene_test_22	test_subject	10	66	76
sample23	female	X	gene_test_22	test_subject	5	71	76
sample24	female	X	gene_test_22	test_subject	8	68	76
sample25	female	X	gene_test_22	test_subject	4	72	76
sample26	female	X	gene_test_22	test_subject	14	62	76
sample27	female	X	gene_test_22	test_subject	5	71	76
sample28	female	X	gene_test_22	test_subject	9	67	76
sample29	female	X	gene_test_22	test_subject	7	69	76
sample30	female	X	gene_test_22	test_subject	7	69	76
sample31	female	X	gene_test_22	test_subject	19	57	76
sample32	female	X	gene_test_22	test_subject	22	54	76
sample33	female	X	gene_test_22	test_subject	21	55	76
sample34	female	X	gene_test_22	test_subject	16	60	76
sample35	female	X	gene_test_22	test_subject	24	52	76
sample36	female	X	gene_test_22	test_subject	14	62	76
sample37	female	X	gene_test_22	test_subject	25	51	76
sample38	female	X	gene_test_22	test_subject	20	56	76
sample39	female	X	gene_test_22	test_subject	19	57	76
sample40	female	X	gene_test_22	test_subject	24	52	76
sample1	female	X	gene_test_23	test_subject	11	124	135
sample2	female	X	gene_test_23	test_subject	23	112	135
sample3	female	X	gene_test_23	test_subject	9	126	135
sample4	female	X	gene_test_23	test_subject	15	120	135
sample5	female	X	gene_test_23	test_subject	15	120	135
sample6	female	X	gene_test_23	test_subject	8	127	135
sample7	female	X	gene_test_23	test_subject	14	121	135
sample8	female	X	gene_test_23	test_subject	17	118	135
sample9	female	X	gene_test_23	test_subject	14	121	135
sample10	female	X	gene_test_23	test_subject	24	111	135
sample11	female	X	gene_test_23	test_subject	38	97	135
sample12	female	X	gene_test_23	test_subject	38	97	135
sample13	female	X	gene_test_23	test_subject	38	97	135
sample14	female	X	gene_test_23	test_subject	23	112	135
sample15	female	X	gene_test_23	test_subject	37	98	135
sample16	female	X	gene_test_23	test_subject	27	108	135
sample17	female	X	gene_test_23	test_subject	32	103	135
sample18	female	X	gene_test_23	test_subject	39	96	135
sample19	female	X	gene_test_23	test_subject	32	103	135
sample20	female	X	gene_test_23	test_subject	33	102	135
sample21	female	X	gene_test_23	test_subject	14	121	135
sample22	female	X	gene_test_23	test_subject	10	125	135
sample23	female	X	gene_test_23	test_subject	15	120	135
sample24	female	X	gene_test_23	test_subject	17	118	135
sample25	female	X	gene_test_23	test_subject	17	118	135
sample26	female	X	gene_test_23	test_subject	9	126	135
sample27	female	X	gene_test_23	test_subject	11	124	135
sample28	female	X	gene_test_23	test_subject	19	116	135
sample29	female	X	gene_test_23	test_subject	8	127	135
sample30	female	X	gene_test_23	test_subject	18	117	135
sample31	female	X	gene_test_23	test_subject	25	110	135
sample32	female	X	gene_test_23	test_subject	27	108	135
sample33	female	X	gene_test_23	test_subject	33	102	135
sample34	female	X	gene_test_23	test_subject	34	101	135
sample35	female	X	gene_test_23	test_subject	25	110	135
sample36	female	X	gene_test_23	test_subject	32	103	135
sample37	female	X	gene_test_23	test_subject	31	104	135
sample38	female	X	gene_test_23	test_subject	45	90	135
sample39	female	X	gene_test_23	test_subject	33	102	135
sample40	female	X	gene_test_23	test_subject	31	104	135
sample1	female	X	gene_test_24	test_escape	65	81	146
sample2	female	X	gene_test_24	test_escape	78	68	146
sample3	female	X	gene_test_24	test_escape	66	80	146
sample4	female	X	gene_test_24	test_escape	66	80	146
sample5	female	X	gene_test_24	test_escape	70	76	146
sample6	female	X	gene_test_24	test_escape	62	84	146
sample7	female	X	gene_test_24	test_escape	74	72	146
sample8	female	X	gene_test_24	test_escape	72	74	146
sample9	female	X	gene_test_24	test_escape	63	83	146
sample10	female	X	gene_test_24	test_escape	69	77	146
sample11	female	X	gene_test_24	test_escape	55	91	146
sample12	female	X	gene_test_24	test_escape	75	71	146
sample13	female	X	gene_test_24	test_escape	60	86	146
sample14	female	X	gene_test_24	test_escape	68	78	146
sample15	female	X	gene_test_24	test_escape	68	78	146
sample16	female	X	gene_test_24	test_escape	57	89	146
sample17	female	X	gene_test_24	test_escape	38	108	146
sample18	female	X	gene_test_24	test_escape	70	76	146
sample19	female	X	gene_test_24	test_escape	88	58	146
sample20	female	X	gene_test_24	test_escape	75	71	146
sample21	female	X	gene_test_24	test_escape	62	84	146
sample22	female	X	gene_test_24	test_escape	68	78	146
sample23	female	X	gene_test_24	test_escape	76	70	146
sample24	female	X	gene_test_24	test_escape	57	89	146
sample25	female	X	gene_test_24	test_escape	62	84	146
sample26	female	X	gene_test_24	test_escape	57	89	146
sample27	female	X	gene_test_24	test_escape	75	71	146
sample28	female	X	gene_test_24	test_escape	60	86	146
sample29	female	X	gene_test_24	test_escape	54	92	146
sample30	female	X	gene_test_24	test_escape	83	63	146
sample31	female	X	gene_test_24	test_escape	75	71	146
sample32	female	X	gene_test_24	test_escape	66	80	146
sample33	female	X	gene_test_24	test_escape	74	72	146
sample34	female	X	gene_test_24	test_escape	64	82	146
sample35	female	X	gene_test_24	test_escape	93	53	146
sample36	female	X	gene_test_24	test_escape	56	90	146
sample37	female	X	gene_test_24	test_escape	73	73	146
sample38	female	X	gene_test_24	test_escape	62	84	146
sample39	female	X	gene_test_24	test_escape	71	75	146
sample40	female	X	gene_test_24	test_escape	75	71	146
sample1	female	X	gene_test_25	test_subject	13	73	86
sample2	female	X	gene_test_25	test_subject	12	74	86
sample3	female	X	gene_test_25	test_subject	7	79	86
sample4	female	X	gene_test_25	test_subject	9	77	86
sample5	female	X	gene_test_25	test_subject	13	73	86
sample6	female	X	gene_test_25	test_subject	13	73	86
sample7	female	X	gene_test_25	test_subject	9	77	86
sample8	female	X	gene_test_25	test_subject	9	77	86
sample9	female	X	gene_test_25	test_subject	5	81	86
sample10	female	X	gene_test_25	test_subject	9	77	86
sample11	female	X	gene_test_25	test_subject	23	63	86
sample12	female	X	gene_test_25	test_subject	27	59	86
sample13	female	X	gene_test_25	test_subject	19	67	86
sample14	female	X	gene_test_25	test_subject	15	71	86
sample15	female	X	gene_test_25	test_subject	23	63	86
sample16	female	X	gene_test_25	test_subject	20	66	86
sample17	female	X	gene_test_25	test_subject	21	65	86
sample18	female	X	gene_test_25	test_subject	19	67	86
sample19	female	X	gene_test_25	test_subject	26	60	86
sample20	female	X	gene_test_25	test_subject	26	60	86
sample21	female	X	gene_test_25	test_subject	6	80	86
sample22	female	X	gene_test_25	test_subject	7	79	86
sample23	female	X	gene_test_25	test_subject	5	81	86
sample24	female	X	gene_test_25	test_subject	5	81	86
sample25	female	X	gene_test_25	test_subject	9	77	86
sample26	female	X	gene_test_25	test_subject	6	80	86
sample27	female	X	gene_test_25	test_subject	11	75	86
sample28	female	X	gene_test_25	test_subject	14	72	86
sample29	female	X	gene_test_25	test_subject	9	77	86
sample30	female	X	gene_test_25	test_subject	8	78	86
sample31	female	X	gene_test_25	test_subject	24	62	86
sample32	female	X	gene_test_25	test_subject	21	65	86
sample33	female	X	gene_test_25	test_subject	24	62	86
sample34	female	X	gene_test_25	test_subject	19	67	86
sample35	female	X	gene_test_25	test_subject	23	63	86
sample36	female	X	gene_test_25	test_subject	20	66	86
sample37	female	X	gene_test_25	test_subject	19	67	86
sample38	female	X	gene_test_25	test_subject	25	61	86
sample39	female	X	gene_test_25	test_subject	17	69	86
sample40	female	X	gene_test_25	test_subject	23	63	86
sample1	female	X	gene_test_28	test_escape	10	23	33
sample2	female	X	gene_test_28	test_escape	13	20	33
sample3	female	X	gene_test_28	test_escape	13	20	33
sample4	female	X	gene_test_28	test_escape	11	22	33
sample5	female	X	gene_test_28	test_escape	13	20	33
sample6	female	X	gene_test_28	test_escape	19	14	33
sample7	female	X	gene_test_28	test_escape	9	24	33
sample8	female	X	gene_test_28	test_escape	13	20	33
sample9	female	X	gene_test_28	test_escape	17	16	33
sample10	female	X	gene_test_28	test_escape	17	16	33
sample11	female	X	gene_test_28	test_escape	13	20	33
sample12	female	X	gene_test_28	test_escape	8	25	33
sample13	female	X	gene_test_28	test_escape	15	18	33
sample14	female	X	gene_test_28	test_escape	19	14	33
sample15	female	X	gene_test_28	test_escape	13	20	33
